State	Number of Customers	Average Monthly Consumption (kWh)	Average Price (cents/kWh)	Average Monthly Bill (Dollar and cents)
Connecticut	"1,530,251"	713	21.91	156.21
Maine	"722,038"	584	17.02	99.44
Massachusetts	"2,840,311"	596	22.89	136.37
New Hampshire	"638,267"	631	19.85	125.24
Rhode Island	"446,320"	585	22.30	130.40
Vermont	"319,444"	567	19.26	109.24
New Jersey	"3,648,914"	687	16.35	112.39
New York	"7,256,212"	599	19.48	116.70
Pennsylvania	"5,477,367"	851	13.76	117.11
Illinois	"5,361,717"	728	13.18	95.86
Indiana	"2,948,803"	946	13.37	126.51
Michigan	"4,458,038"	670	17.54	117.57
Ohio	"5,041,904"	879	12.77	112.21
Wisconsin	"2,761,990"	690	14.52	100.18
Iowa	"1,417,424"	861	12.73	109.63
Kansas	"1,289,344"	890	12.98	115.53
Minnesota	"2,496,406"	776	13.50	104.76
Missouri	"2,861,933"	"1,039"	11.41	118.55
Nebraska	"869,656"	"1,005"	10.75	108.09
North Dakota	"391,340"	"1,041"	10.85	112.93
South Dakota	"412,657"	"1,019"	12.22	124.50
Delaware	"453,758"	950	12.52	118.85
District of Columbia	"298,337"	706	13.09	92.42
Florida	"9,917,113"	"1,096"	11.90	130.40
Georgia	"4,560,653"	"1,072"	12.51	134.11
Maryland	"2,395,954"	973	13.12	127.62
North Carolina	"4,774,592"	"1,063"	11.32	120.38
South Carolina	"2,426,703"	"1,078"	12.86	138.65
Virginia	"3,551,532"	"1,094"	11.96	130.92
West Virginia	"863,647"	"1,066"	12.15	129.61
Alabama	"2,308,226"	"1,140"	12.96	147.75
Kentucky	"2,032,575"	"1,084"	11.50	124.67
Mississippi	"1,321,576"	"1,171"	11.56	135.31
Tennessee	"3,016,642"	"1,183"	11.07	130.98
Arkansas	"1,436,246"	"1,098"	11.27	123.69
Louisiana	"2,126,155"	"1,192"	11.02	131.37
Oklahoma	"1,818,813"	"1,088"	11.00	119.69
Texas	"11,815,251"	"1,094"	12.11	132.40
Arizona	"2,953,823"	"1,048"	12.54	131.35
Colorado	"2,443,109"	704	13.07	91.96
Idaho	"806,421"	961	10.16	97.62
Montana	"531,398"	872	11.22	97.84
Nevada	"1,249,392"	959	11.49	110.17
New Mexico	"914,495"	646	13.52	87.31
Utah	"1,176,949"	775	10.43	80.87
Wyoming	"278,599"	867	11.17	96.82
California	"13,883,994"	542	22.82	123.67
Oregon	"1,805,684"	936	11.37	106.49
Washington	"3,220,813"	984	10.11	99.45
Alaska	"292,451"	594	22.55	133.89
Hawaii	"443,535"	531	33.49	177.78
