time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum
2016-01-01,43.0,33.2,38.2,36.8,26.3,31.9,0.0,0.0,0.0
2016-01-02,39.7,29.6,33.9,31.9,23.5,27.2,0.0,0.0,0.0
2016-01-03,44.0,30.0,35.5,36.0,22.5,28.9,0.0,0.0,0.0
2016-01-04,31.8,18.0,27.8,26.3,4.0,18.1,0.0,0.0,0.0
2016-01-05,29.6,13.7,20.7,22.1,1.0,10.3,0.0,0.0,0.0
2016-01-06,38.1,19.7,26.6,31.8,7.8,19.2,0.0,0.0,0.0
2016-01-07,41.5,23.4,31.5,37.7,18.0,26.8,0.0,0.0,0.0
2016-01-08,42.8,30.7,36.2,38.0,23.6,31.1,0.0,0.0,0.0
2016-01-09,47.8,36.8,42.3,42.9,32.7,38.2,0.004,0.004,0.0
2016-01-10,57.9,40.0,51.6,59.1,31.9,48.0,1.151,1.151,0.0
2016-01-11,37.6,26.0,31.6,30.4,17.5,22.0,0.0,0.0,0.0
2016-01-12,42.2,23.8,31.0,32.8,15.5,23.4,0.0,0.0,0.0
2016-01-13,29.7,22.9,25.6,18.9,9.9,14.1,0.0,0.0,0.0
2016-01-14,37.7,22.7,28.9,30.6,14.1,21.8,0.0,0.0,0.028
2016-01-15,48.8,27.9,37.8,43.8,24.8,33.5,0.012,0.012,0.0
2016-01-16,49.8,37.1,42.0,41.2,35.9,38.3,0.319,0.319,0.0
2016-01-17,39.5,27.8,33.2,35.2,23.5,28.1,0.084,0.0,0.607
2016-01-18,28.5,19.7,24.7,22.8,6.7,13.2,0.0,0.0,0.0
2016-01-19,27.9,15.7,21.5,16.1,4.4,9.7,0.0,0.0,0.0
2016-01-20,36.7,24.1,28.7,28.9,14.6,21.8,0.0,0.0,0.0
2016-01-21,35.5,25.5,29.2,26.2,16.3,21.4,0.0,0.0,0.0
2016-01-22,29.2,21.5,25.5,20.5,10.9,16.5,0.032,0.0,0.221
2016-01-23,26.8,24.8,25.8,17.1,11.9,13.9,1.936,0.0,13.559
2016-01-24,29.6,16.0,22.8,23.5,10.0,16.9,0.04,0.0,0.303
2016-01-25,32.0,11.9,22.1,28.6,7.2,18.9,0.0,0.0,0.0
2016-01-26,43.5,24.9,34.5,38.8,18.6,29.3,0.0,0.0,0.0
2016-01-27,39.8,26.7,35.1,36.1,24.1,32.6,0.044,0.044,0.0
2016-01-28,37.3,9.9,24.2,33.9,2.8,20.6,0.0,0.0,0.0
2016-01-29,38.3,16.6,28.1,30.8,15.9,23.9,0.012,0.008,0.028
2016-01-30,35.3,15.8,26.5,30.1,12.8,21.9,0.0,0.0,0.0
2016-01-31,43.7,29.4,35.5,42.1,23.5,32.0,0.0,0.0,0.0
2016-02-01,47.4,35.9,41.0,47.1,32.6,38.4,0.02,0.02,0.0
2016-02-02,47.6,25.5,34.9,43.9,22.3,31.5,0.0,0.0,0.0
2016-02-03,54.9,28.7,45.1,52.9,28.1,41.5,0.56,0.56,0.0
2016-02-04,54.8,43.9,50.5,53.5,37.8,46.0,0.024,0.024,0.0
2016-02-05,42.6,26.3,34.6,37.4,22.4,27.4,0.704,0.205,3.529
2016-02-06,37.9,22.7,30.8,32.5,19.3,25.7,0.0,0.0,0.0
2016-02-07,43.8,23.1,33.3,37.2,19.3,29.1,0.0,0.0,0.0
2016-02-08,34.6,28.4,32.9,29.1,22.8,26.5,0.02,0.0,0.308
2016-02-09,33.9,26.6,29.6,27.9,20.4,23.7,0.044,0.0,0.472
2016-02-10,37.2,27.8,32.1,27.5,21.0,25.6,0.036,0.004,0.334
2016-02-11,27.3,19.7,23.8,20.7,9.0,13.1,0.0,0.0,0.028
2016-02-12,25.3,8.3,18.7,16.0,6.6,12.1,0.0,0.0,0.0
2016-02-13,20.0,6.2,15.2,14.3,-4.1,6.3,0.0,0.0,0.0
2016-02-14,16.3,0.7,8.8,8.2,-8.5,-0.3,0.0,0.0,0.0
2016-02-15,38.1,14.2,24.2,30.4,7.1,14.2,0.279,0.114,1.24
2016-02-16,54.1,33.6,46.4,49.7,29.5,39.3,0.508,0.508,0.0
2016-02-17,41.6,29.6,34.8,31.5,26.4,29.4,0.0,0.0,0.0
2016-02-18,35.4,24.8,30.0,26.1,18.3,22.6,0.0,0.0,0.0
2016-02-19,36.1,22.3,29.1,29.3,14.0,21.9,0.008,0.0,0.055
2016-02-20,58.8,33.1,45.7,49.3,29.0,39.6,0.0,0.0,0.0
2016-02-21,54.0,35.5,45.2,51.6,34.4,42.9,0.052,0.052,0.0
2016-02-22,49.4,30.2,39.4,45.1,27.2,36.3,0.094,0.094,0.0
2016-02-23,41.4,31.8,36.0,32.0,25.3,28.4,0.234,0.234,0.0
2016-02-24,59.0,36.6,47.8,54.7,28.3,41.3,0.757,0.757,0.0
2016-02-25,59.1,38.0,48.2,59.4,29.1,42.3,0.064,0.064,0.0
2016-02-26,39.3,28.7,34.4,28.9,21.3,25.0,0.0,0.0,0.0
2016-02-27,40.2,24.2,31.8,31.8,17.5,24.7,0.0,0.0,0.0
2016-02-28,58.4,32.3,43.4,50.5,26.4,37.4,0.0,0.0,0.0
2016-02-29,57.5,43.8,49.6,49.2,37.3,42.2,0.028,0.028,0.0
2016-03-01,50.3,35.5,43.1,44.4,33.1,37.7,0.0,0.0,0.0
2016-03-02,54.1,31.1,43.1,47.3,21.9,34.7,0.177,0.177,0.0
2016-03-03,36.6,25.7,31.4,29.7,16.6,23.8,0.0,0.0,0.0
